date,AXS Price,AXS Mk Cap,SLP Price,SLP Mk Cap,ETH Price,ETH Mk Cap,SPS Price,SPS Mk Cap,TLM Price,TLM Mk Cap,MANA Price,MANA Mk Cap,ATLAS Price,ATLAS Mk Cap,SAND Price,SAND Mk Cap,ILV Price,ILV Mk Cap,AXS Circ. Supply per CoinGecko
2021-08-21,73.23278747125184,4204890120.0701184,0.16732983249009722,230781948.28376433,3276.9698366433354,383483277312.2806,0.38680606778716786,,0.27540587360452917,341268274.7966977,0.8417641084711532,1117341974.3894632,,,0.6116943734573491,540239366.4257151,490.016012844248,310872375.1308509,57418135.58197255
2021-08-22,76.86523754005901,4411996493.449321,0.15872301024343732,227356677.77260688,3224.0004601521537,378500212583.48236,0.4219908088205602,,0.2918646523355431,362050243.9339357,0.8786785161890333,1175191896.646254,,,0.6650055768166812,588083239.5509602,499.80580563867426,317304771.98400414,57399113.49587607
2021-08-23,77.0053729174557,4436307543.611275,0.15438558999873317,228998297.20067552,3243.4863583537394,380718215752.5816,0.3901749261473145,,0.2877373808729435,357372892.0135913,0.8823618971809506,1172974816.5489438,,,0.6550903572828825,581187691.820516,478.3808155746819,303595523.4700322,57610363.73873135
2021-08-24,76.82245888391124,4420818750.125613,0.1556811101664216,235172925.20188296,3320.4091697810586,389578100858.59686,0.3732997769267541,,0.30005548808447424,371827486.54041904,0.9178220569623565,1220659783.4521954,,,0.6741458340330618,598049476.0739566,516.8447257523854,329619771.1875976,57545915.79535416
2021-08-25,69.86249843671533,4021857909.5862136,0.14147170589551156,218341210.12432724,3177.6637963046905,373455291323.226,0.33892348950706963,,0.27188791222100805,337877709.64015913,0.8600385255629535,1143250879.8997545,,,0.6181398530778872,546498143.9454466,469.38021837752615,298139773.92866504,57568194.66211043
2021-08-26,72.76088559800071,4186099201.182587,0.16107532541033398,259335899.53924677,3231.4414517287996,378980836224.52765,0.414995209690318,,0.34785408554433905,431561163.2193009,0.9470143497163521,1254046783.3081596,,,0.7259473921175527,642866412.3761623,484.47194232183324,307375630.57352424,57532273.924076736
2021-08-27,70.51682600135358,4066918836.4889565,0.14356487931512985,237607619.78785,3122.971797237849,367860898491.3749,0.38976093547167706,,0.3058776934905598,384201009.2536825,0.9022476761780365,1203023502.5549917,,,0.6870363978059006,609481431.9684004,514.0823945449407,326679983.5738296,57673027.37662769
2021-08-28,73.36829216861913,4229492025.3785195,0.1461688682586354,244426501.04743332,3267.539434750998,383644799228.1656,0.37496468044269793,,0.31958922354066127,396989742.2136298,0.9341402345156226,1240951606.3811283,,,0.7101004097564186,631087571.7342278,512.7612637667442,325468817.45783085,57647410.07815833
2021-08-29,74.566813606852,4307836448.126088,0.1396371167439351,242611952.49197623,3245.430222387629,380750077080.94684,0.38819953116725847,,0.35320850886749083,436591226.2857035,0.9222633719023497,1223151645.741882,,,0.7656065310501678,678699879.914984,524.9810897450062,332982931.9138422,57771496.99380796
2021-08-30,78.65244911446143,4473348334.448821,0.13761180907239984,246278961.6130981,3233.383151693551,378786220548.79956,0.3903771005610981,,0.37276871695476177,457733633.3219628,1.0277583894911448,1362763129.965584,,,0.988844509584904,874055336.735943,511.0126203294071,324425573.35624194,56874876.55901015
2021-08-31,73.3963325344255,4218664326.86356,0.12553918192543287,235692057.69179597,3232.7338632854617,378977088509.6317,0.3780802173167447,,0.3399956025189522,422307327.567973,0.9495814178788083,1259745060.5119374,,,0.9715833376439091,860836251.3541605,492.53457719190413,313869033.65553665,57477862.73769001
2021-09-01,72.63673864532909,4203395350.092899,0.11498091390505709,226397526.72852552,3440.5623358869034,403657783560.1046,0.3725282250955434,,0.3338196883661396,414059088.81858146,0.9470780718411514,1256654746.979304,,,0.9620697751820263,853719567.1748326,492.2786990542404,312619505.11711526,57868723.575507045
2021-09-02,74.05361090797389,4281707937.302709,0.12107032666218678,250139474.53939107,3790.6139962215557,444243407062.371,0.3611514705487769,,0.32989637352911766,409136137.6445278,0.9794902354941166,1295954847.8975787,0.08253272195577589,,1.0072886677826693,891381409.9075176,535.5710419873092,339936041.0180458,57819029.819134265
2021-09-03,72.67691820805896,4200995251.422333,0.1368399317432406,289413201.2866085,3793.3007433464186,444936758974.6008,0.3402011424340634,,0.3283821594259474,405150777.1310872,0.9701960702113666,1286012017.067924,0.08253272195577589,,1.000153970131392,884649465.1464573,556.6847573547461,353611113.67121166,57803706.52750786
2021-09-04,73.88367507557126,4273338465.0978117,0.12891233825894743,275616875.6990573,3936.1633916244464,462019852288.094,0.3477072148649178,,0.31654364761934745,391304747.35965985,0.9946588850036332,1319473597.402466,0.15384217725847077,,1.0024201493511498,882323030.4086295,607.7427938310942,384223509.73000044,57838737.18689366
2021-09-05,82.89639728775646,4808228159.934287,0.12446477403791681,266919328.22246617,3894.937511605067,456929768632.2518,0.3530146834110041,,0.32809358932651456,407313284.7554999,1.054300070107961,1393656560.7893689,0.23391783965599214,507856624.9351629,0.9946106958489881,880821473.340944,593.0432246268231,376069941.23499477,58002860.404699974
2021-09-06,82.1764900313329,4733539706.358704,0.11950339260834789,256349872.83310845,3950.270344526561,463973074693.0737,0.3705273831148409,,0.33478632600256314,414730889.7695184,1.074666703508107,1425861996.9815361,0.2020279838849657,430960396.9869484,0.9712709754619595,857996933.9963148,565.762216406516,369491250.8513542,57602115.94038468
