Date Raw;Date Parsed;Breeding ETH;Breeding USD;Breeding AXS;Marketplace ETH;Marketplace USD
1619049600000;04/22/2021;0;0;0;449.07036000289156;807976.591855
1619136000000;04/23/2021;0;0;0;451.9290048637712;814910.6475225
1619222400000;04/24/2021;0;0;0;455.82020999294053;824105.096375
1619308800000;04/25/2021;0;0;0;460.8480109657654;835239.1907425
1619395200000;04/26/2021;0;0;0;463.49173336917295;841349.9129075
1619481600000;04/27/2021;0;0;0;468.3189423773903;853573.9274675001
1619568000000;04/28/2021;2.731;7222.016000000001;842;472.96503719919383;865894.1055875001
1619654400000;04/29/2021;11.797;32142.836000000003;3177;477.7281068524457;878986.7560150002
1619740800000;04/30/2021;21.903;60055.486000000004;5937;496.47245516212865;930674.2509750002
1619827200000;05/01/2021;27.798;76444.285;7543;504.1468873920692;951983.8747775003
1619913600000;05/02/2021;32.812;91228.087;9061;512.2185017751126;975754.1100725003
1620000000000;05/03/2021;36.492;102093.278;10225;520.5440724922058;1000341.9967900002
1620086400000;05/04/2021;41.434;119096.67800000001;12068;528.9790723764881;1029357.1758275003
1620172800000;05/05/2021;46.031;134011.81800000003;13915;538.7773035975489;1061158.9318800003
1620259200000;05/06/2021;50.893;151158.14200000002;15891;546.4938307186716;1088356.3150275003
1620345600000;05/07/2021;55.071;165758.77700000003;17739;554.7949275416979;1117369.2784125004
1620432000000;05/08/2021;58.963;179350.04500000004;19357;560.6788274740094;1137924.8845550003
1620518400000;05/09/2021;62.275;192265.66500000004;20924;566.5450737619278;1160877.9981475002
1620604800000;05/10/2021;64.72;201852.36600000004;22113;570.8925537262725;1177975.5676075001
1620691200000;05/11/2021;75.884;246372.10500000004;28247;575.6813351950069;1197033.042205
1620777600000;05/12/2021;89.371;302783.95300000004;35189;582.0127614166048;1223516.0726875002
1620864000000;05/13/2021;100.59599999999999;346301.314;41310;589.5866969205035;1253100.6887825
1620950400000;05/14/2021;111.46;387073.858;47136;603.3305973149394;1304645.0084675
1621036800000;05/15/2021;123.223;435138.632;53926;613.8456465640646;1347638.2251750003
1621123200000;05/16/2021;139.017;492944.99799999996;62777;625.6794485692823;1390949.0151000002
1621209600000;05/17/2021;158.654;563278.0689999999;73616;639.8642884908006;1442042.8671275002
1621296000000;05/18/2021;180.548;635345.2889999999;84656;653.754858690671;1487718.2536925
1621382400000;05/19/2021;197.333;692409.8059999999;93274;665.6099691210795;1528014.3567350002
1621468800000;05/20/2021;217.248;742208.2019999998;105515;681.6879687323798;1568289.9900775005
1621555200000;05/21/2021;245.131;818900.2699999998;122007;697.710358493657;1612804.6710000006
